,pearson,spearman,pearson_abs,spearman_abs
OverallQual,0.7909816005838053,0.8098285862017292,0.7909816005838053,0.8098285862017292
GrLivArea,0.7086244776126515,0.7313095834659141,0.7086244776126515,0.7313095834659141
YearBuilt,0.5228973328794967,0.6526815462850586,0.5228973328794967,0.6526815462850586
GarageArea,0.6234314389183622,0.6493785338868229,0.6234314389183622,0.6493785338868229
TotalBsmtSF,0.6135805515591943,0.6027254448924095,0.6135805515591943,0.6027254448924095
GarageYrBlt,0.4863616774878596,0.5937883261958506,0.4863616774878596,0.5937883261958506
1stFlrSF,0.6058521846919153,0.5754078354212823,0.6058521846919153,0.5754078354212823
YearRemodAdd,0.5071009671113866,0.5711589780582342,0.5071009671113866,0.5711589780582342
OpenPorchSF,0.31585622711605504,0.47756066228252647,0.31585622711605504,0.47756066228252647
LotArea,0.2638433538714051,0.4564605833912114,0.2638433538714051,0.4564605833912114
